Date,Day_of_the_week,App (Use all CAPITALS),Minutes,Category
8/28/2023,Monday,YOUTUBE,82,Entertainment
8/28/2023,Monday,SPOTIFY,62,Entertainment
8/28/2023,Monday,MESSAGES,50,Other
8/28/2023,Monday,CALCULATOR,30,Education
8/28/2023,Monday,INSTAGRAM,29,Social Media
8/28/2023,Monday,CAMERA ,28,Other
8/28/2023,Monday,SAFARI,25,Other
8/29/2023,Tuesday,YOUTUBE,176,Entertainment
8/29/2023,Tuesday,INSTAGRAM,172,Social Media
8/29/2023,Tuesday,CALCULATOR,139,Education
8/29/2023,Tuesday,SPOTIFY,65,Entertainment
8/29/2023,Tuesday,MESSAGES,49,Other
8/29/2023,Tuesday,SAFARI,26,Other
8/29/2023,Tuesday,MY_DOCTOR_ONLINE,24,Other
8/30/2023,Wednesday,YOUTUBE,168,Entertainment
8/30/2023,Wednesday,INSTAGRAM,64,Social Media
8/30/2023,Wednesday,SPOTIFY,62,Entertainment
8/30/2023,Wednesday,MESSAGES,28,Other
8/30/2023,Wednesday,CLOCK,19,Other
8/31/2023,Thursday,HITV,210,Entertainment
8/31/2023,Thursday,INSTAGRAM,174,Social Media
8/31/2023,Thursday,YOUTUBE,99,Entertainment
8/31/2023,Thursday,SPOTIFY,89,Entertainment
8/31/2023,Thursday,MAPS,40,Travel
8/31/2023,Thursday,MESSAGES,31,Other
8/31/2023,Thursday,PHOTOS,27,Other
8/31/2023,Thursday,BIBLE,22,Other
8/31/2023,Thursday,CALCULATOR,18,Education
9/1/2023,Friday,YOUTUBE,99,Entertainment
9/1/2023,Friday,INSTAGRAM,174,Social Media
9/1/2023,Friday,HITV,210,Entertainment
9/1/2023,Friday,MAPS,40,Travel
9/1/2023,Friday,SPOTIFY,89,Entertainment
9/1/2023,Friday,BIBLE,22,Other
9/1/2023,Friday,CACULATOR,18,Education
9/1/2023,Friday,CLOCK,12,Other
9/1/2023,Friday,YOUTUBE,118,Entertainment
9/2/2023,Saturday,NOTES,72,Other
9/2/2023,Saturday,INSTAGRAM,70,Social Media
9/2/2023,Saturday,HITV,69,Entertainment
9/2/2023,Saturday,PINTEREST,37,Entertainment
9/2/2023,Saturday,MAPS,28,Travel
9/2/2023,Saturday,SPOTIFY,28,Entertainment
9/2/2023,Saturday,SAFARI,23,Other
9/2/2023,Saturday,PHOTOS,17,Other
9/2/2023,Saturday,MINI_LINK,15,Other
9/3/2023,Sunday,INSTAGRAM,211,Social Media
9/3/2023,Sunday,YOUTUBE,79,Entertainment
9/3/2023,Sunday,SPOTIFY,28,Entertainment
9/3/2023,Sunday,MESSAGES,23,Other
